Round,Condition1
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0.001
12,0.001
13,0.001
14,0.002
15,0.003
16,0.003
17,0.003
18,0.003
19,0.004
20,0.005
21,0.005
22,0.007
23,0.009
24,0.012
25,0.016
26,0.02
27,0.025
28,0.029
29,0.03
30,0.036
31,0.041
32,0.046
33,0.053
34,0.059
35,0.07
36,0.082
37,0.094
38,0.11
39,0.121
40,0.138
41,0.152
42,0.172
43,0.188
44,0.209
45,0.238
46,0.259
47,0.286
48,0.306
49,0.33
50,0.358
51,0.388
52,0.415
53,0.442
54,0.47
55,0.498
56,0.527
57,0.557
58,0.583
59,0.601
60,0.623
61,0.65
62,0.681
63,0.711
64,0.739
65,0.76
66,0.789
67,0.81
68,0.832
69,0.852
70,0.867
71,0.876
72,0.893
73,0.908
74,0.919
75,0.931
76,0.95
77,0.959
78,0.97
79,0.974
80,0.977
81,0.987
82,0.991
83,0.994
84,0.995
85,0.997
86,0.999
87,0.999
88,0.999
89,0.999
90,0.999
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
